source_row,domain,list_url,pages_fetched,job_links_found,sample_job_url,error,elapsed_seconds
3707,graphiant.bamboohr.com,https://graphiant.bamboohr.com/careers/list,1,1,https://graphiant.bamboohr.com/careers/102,,0.39
3720,greenboxcapital.bamboohr.com,https://greenboxcapital.bamboohr.com/careers/list,1,7,https://greenboxcapital.bamboohr.com/careers/158,,0.43
3721,greencabbage.bamboohr.com,https://greencabbage.bamboohr.com/careers/list,1,8,https://greencabbage.bamboohr.com/careers/51,,0.35
3726,greenparkcontent.bamboohr.com,https://greenparkcontent.bamboohr.com/careers/list,1,89,https://greenparkcontent.bamboohr.com/careers/208,,0.76
3739,groundupinternational.bamboohr.com,https://groundupinternational.bamboohr.com/careers/list,1,2,https://groundupinternational.bamboohr.com/careers/89,,0.39
3751,gssi.bamboohr.com,https://gssi.bamboohr.com/careers/list,1,2,https://gssi.bamboohr.com/careers/109,,0.41
3755,gta.bamboohr.com,https://gta.bamboohr.com/careers/list,1,17,https://gta.bamboohr.com/careers/463,,0.37
3772,gupta.bamboohr.com,https://gupta.bamboohr.com/careers/list,1,13,https://gupta.bamboohr.com/careers/179,,0.35
3788,hamilton.bamboohr.com,https://hamilton.bamboohr.com/careers/list,1,29,https://hamilton.bamboohr.com/careers/804,,0.71
3790,hammertech123.bamboohr.com,https://hammertech123.bamboohr.com/careers/list,1,5,https://hammertech123.bamboohr.com/careers/138,,0.49
3795,hansoninc.bamboohr.com,https://hansoninc.bamboohr.com/careers/list,1,2,https://hansoninc.bamboohr.com/careers/47,,0.35
3879,headspin.bamboohr.com,https://headspin.bamboohr.com/careers/list,1,18,https://headspin.bamboohr.com/careers/273,,0.38
3892,heights.bamboohr.com,https://heights.bamboohr.com/careers/list,1,5,https://heights.bamboohr.com/careers/84,,0.51
3899,helloflynn.bamboohr.com,https://helloflynn.bamboohr.com/careers/list,1,2,https://helloflynn.bamboohr.com/careers/32,,0.46
3915,hgiworld.bamboohr.com,https://hgiworld.bamboohr.com/careers/list,1,9,https://hgiworld.bamboohr.com/careers/64,,0.37
3920,high5games.bamboohr.com,https://high5games.bamboohr.com/careers/list,1,11,https://high5games.bamboohr.com/careers/135,,0.32
3921,highland.bamboohr.com,https://highland.bamboohr.com/careers/list,1,2,https://highland.bamboohr.com/careers/120,,0.40
3929,hillgrp.bamboohr.com,https://hillgrp.bamboohr.com/careers/list,1,21,https://hillgrp.bamboohr.com/careers/189,,0.40
3940,historicnewengland.bamboohr.com,https://historicnewengland.bamboohr.com/careers/list,1,6,https://historicnewengland.bamboohr.com/careers/112,,0.37
4008,huntelectric.bamboohr.com,https://huntelectric.bamboohr.com/careers/list,1,39,https://huntelectric.bamboohr.com/careers/1248,,0.37
4009,huntercarehealth.bamboohr.com,https://huntercarehealth.bamboohr.com/careers/list,1,1,https://huntercarehealth.bamboohr.com/careers/414,,0.31
4014,huntsservices.bamboohr.com,https://huntsservices.bamboohr.com/careers/list,1,9,https://huntsservices.bamboohr.com/careers/81,,0.36
4017,hutchcc.bamboohr.com,https://hutchcc.bamboohr.com/careers/list,1,36,https://hutchcc.bamboohr.com/careers/96,,0.39
4063,ictcctic.bamboohr.com,https://ictcctic.bamboohr.com/careers/list,1,3,https://ictcctic.bamboohr.com/careers/230,,0.38
4086,ihbs.bamboohr.com,https://ihbs.bamboohr.com/careers/list,1,26,https://ihbs.bamboohr.com/careers/35,,0.40
4098,illumynt.bamboohr.com,https://illumynt.bamboohr.com/careers/list,1,3,https://illumynt.bamboohr.com/careers/42,,0.37
4130,indicalab.bamboohr.com,https://indicalab.bamboohr.com/careers/list,1,4,https://indicalab.bamboohr.com/careers/184,,0.31
4131,indigenousclimateaction.bamboohr.com,https://indigenousclimateaction.bamboohr.com/careers/list,1,1,https://indigenousclimateaction.bamboohr.com/careers/23,,0.50
4148,infowest.bamboohr.com,https://infowest.bamboohr.com/careers/list,1,5,https://infowest.bamboohr.com/careers/120,,0.37
4157,innovativeinc.bamboohr.com,https://innovativeinc.bamboohr.com/careers/list,1,2,https://innovativeinc.bamboohr.com/careers/41,,0.39
4159,innovu.bamboohr.com,https://innovu.bamboohr.com/careers/list,1,4,https://innovu.bamboohr.com/careers/24,,0.36
